tweet_id,user_id,screen_name,name,club,day,area,block,place,url
741197627060977664,242590552,7thslv,"浅妃@はにとす発売中です！","純銀星","日","東","ル","15b",https://twitter.com/7thslv/status/741197627060977664
741197604902428672,3014421474,arisutoutoi,"あさ（霜）","a.S.a","日","東","ア","22b",https://twitter.com/arisutoutoi/status/741197604902428672
741197604348792832,254182101,chibinon0123,"チビのん☆","黒猫亭","日","東","ウ","45a",https://twitter.com/chibinon0123/status/741197604348792832
741197580600643584,411488060,ochiudode530,"トモ●Splash!5オ27a","なきむし","金","東","Ｉ","39a",https://twitter.com/ochiudode530/status/741197580600643584
741197570953744384,4867341,usadaruma,"うさだるま@1日目西b53a","うさうさ亭","金","西","ｂ","53a",https://twitter.com/usadaruma/status/741197570953744384
741197562338639872,100241768,Murphy_the_Aeon,"永遠のまーふぃ@初雪ちゃん合同誌企画中","あいおーん","土","東","Ｅ","45a",https://twitter.com/Murphy_the_Aeon/status/741197562338639872
741197559125807104,171506720,midorinagi,"天凪@白露型オンリー【F-30】","主の本棚","土","東","Ｄ","20a",https://twitter.com/midorinagi/status/741197559125807104
741197553983721472,98599589,yonakidori,"珠樹","夜鳴く鶏","土","東","モ","21b",https://twitter.com/yonakidori/status/741197553983721472
741197540607938560,398736109,summer_heats,"春蘭@6/26 6Ａオ13a","Summer Heats","金","東","Ｐ","40a",https://twitter.com/summer_heats/status/741197540607938560
741197530294165504,134790817,tanananaoka,"tanananaoka","Syndicoooooooo","日","東","ホ","33a",https://twitter.com/tanananaoka/status/741197530294165504
741197524128530432,87896904,satoutoshio01,"佐藤登志雄　冬コミ３日目ニー３１ｂ","虚無の歌","日","東","ヌ","45b",https://twitter.com/satoutoshio01/status/741197524128530432
741197510627074049,2862763820,jinrikikyatapir,"ぽぽまる","早大スト研","日","東","モ","06a",https://twitter.com/jinrikikyatapir/status/741197510627074049
741197506072084480,92659013,ume2888,"ume:","MUSETTE","日","東","エ","37a",https://twitter.com/ume2888/status/741197506072084480
741197478154756096,1333553316,jyourenkishidan,"ジョウ・レン騎士団長@オ31a","ジョウ・レン騎士団","日","東","オ","31a",https://twitter.com/jyourenkishidan/status/741197478154756096
741197464074477568,390505927,kino4405,"どんぐり","きのこどんぐり","土","東","Ｆ","11a",https://twitter.com/kino4405/status/741197464074477568
741197451768434688,136263995,dorocoko,"小松","泥コッペリア","金","東","ユ","01b",https://twitter.com/dorocoko/status/741197451768434688
741197450614964225,485461738,famicure,"ふぁみみみっくす","ぺーたんずラボ","金","西","ｂ","46b",https://twitter.com/famicure/status/741197450614964225
741197427303030784,85604030,kourevolution,"kou@C90二日目(土)東コ－2","紅-KURENAI-","土","東","コ","29a",https://twitter.com/kourevolution/status/741197427303030784
741197421753950208,879763441,Aoiaoi8,"葵@まりメラBDは虹色の宝物","限りなく愛。","金","東","Ｌ","20b",https://twitter.com/Aoiaoi8/status/741197421753950208
741197420390813696,3328591274,yumeno1867,"ゆめつき","YUMEPATH","金","東","Ｖ","09a",https://twitter.com/yumeno1867/status/741197420390813696
741197396588142593,204372610,AUTUMN_RAiN_39,"秋雨みのり@お仕事募集中","2Kアトリエ計画","日","西","く","28b",https://twitter.com/AUTUMN_RAiN_39/status/741197396588142593
741197375461429249,41144633,umeshiba14k,"うめしば@たくさん書くのです。","J.A.Promotion","日","西","ｋ","07a",https://twitter.com/umeshiba14k/status/741197375461429249
741197356696141824,81954486,setzky,"セツキ＠金:東V18a","猫が爆発したので、","金","東","Ｖ","18a",https://twitter.com/setzky/status/741197356696141824
741197347590275072,159115191,fujikawatk,"フジカワ","hac","金","東","Ｍ","48a",https://twitter.com/fujikawatk/status/741197347590275072
741197341869277184,3116738638,antidote_polary,"antidote","Poralis","日","西","ｄ","66b",https://twitter.com/antidote_polary/status/741197341869277184
741197336525737989,3292908691,hakairosso,"†┏┛ハカイ之墓┗┓†","ハカイロッソ","土","東","ア","22b",https://twitter.com/hakairosso/status/741197336525737989
741197334235602945,187070590,moochrlm,"むっく/赤井椋(夏コミ3日目西く39b)","MU-Quadrillion","日","西","く","39b",https://twitter.com/moochrlm/status/741197334235602945
741197329458335748,125360198,yatanekko,"エ・チ・ゴ・ミ・ツ・タ・カ","電圧音質からから廻るトマト","日","西","れ","33b",https://twitter.com/yatanekko/status/741197329458335748
741197326836850688,79119805,genkianamei,"DJ Genki","ＳＫＥＴＣＨ? ＵＰ！? Ｒｅｃ．","日","西","ａ","56b",https://twitter.com/genkianamei/status/741197326836850688
741197314425917443,2936944470,salviairis394,"ｻﾙﾋﾞｱｲﾘｽ@夏ｺﾐ土曜J-05a","チーズチリ臭","土","東","Ｊ","05a",https://twitter.com/salviairis394/status/741197314425917443
741197314392367106,2664554606,chiyo092,"千夜@6/18,19バラ園撮影会","久遠の光","土","東","ラ","55b",https://twitter.com/chiyo092/status/741197314392367106
741197308734251008,2186426180,planetnut,"落花星","Planet Plantation","日","東","ハ","37b",https://twitter.com/planetnut/status/741197308734251008
741197306855182336,15096207,kaguraduki,"かぐら","Lost Garden","日","西","ｏ","08a",https://twitter.com/kaguraduki/status/741197306855182336
741197297497706496,4684337202,Kano_Makoto,"鹿野誠@新潟コミティア48a","トビイロキャット","金","東","Ｈ","44b",https://twitter.com/Kano_Makoto/status/741197297497706496
741197284302409729,5681202,deflis,"猫ロキP＠神崎蘭子担当イカ","ライトノベル放送局　文芸部","日","東","ノ","44b",https://twitter.com/deflis/status/741197284302409729
741197279323787264,324691448,chronicle_net,"みずたけ。@夏コミ3日目 ヤ-51a","chronicle ","日","東","ヤ","51a",https://twitter.com/chronicle_net/status/741197279323787264
741197275909619713,349532692,_mivu,"みふ@絶対零度2/G48","lace unlaced","金","東","V","16a",https://twitter.com/_mivu/status/741197275909619713
741197257664389120,233991771,Renyl_,"サンクリK-07a&コミケq-04a","ナトリニウム","土","西","ｑ","04a",https://twitter.com/Renyl_/status/741197257664389120
741197251951792128,82417983,Large_Tree,"だい@C90・土曜東パ45b","BIG DIPPER","土","東","パ","45b",https://twitter.com/Large_Tree/status/741197251951792128
741197247870685184,465543056,umemememememoto,"桃元","タタミルームジャック","金","東","ロ","12b",https://twitter.com/umemememememoto/status/741197247870685184
741197238584627200,1556561940,taka945,"たか","水幻堂","日","東","Ｘ","60b",https://twitter.com/taka945/status/741197238584627200
741197235375869952,367202870,hanefu25_117,"huzita","Knife Limit","金","東","カ","20b",https://twitter.com/hanefu25_117/status/741197235375869952
741197215390007296,52718831,uta914,"うた子","ウタチャンホンポ","金","東","Ｙ","35b",https://twitter.com/uta914/status/741197215390007296
741197202974859265,73395878,moke14,"もけ","gaton.","日","東","コ","30b",https://twitter.com/moke14/status/741197202974859265
741197192174542849,3815753778,enu_erororo,"ゑぬの性癖@二日目東D34b","切切枚","土","東","Ｃ","46a",https://twitter.com/enu_erororo/status/741197192174542849
